seq_name	Accession	Definition	Source	Genus	Species	Subspecies	Organism	Date	Length
AY875949	AY875949.1	Nycticebus bengalensis isolate B9 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2005-04-05	391
EU680968	EU680968.1	Nycticebus bengalensis 12S ribosomal RNA gene, complete sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2008-05-20	971
FJ640066	FJ640066.1	Nycticebus bengalensis 16S ribosomal RNA gene, complete sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2009-02-16	1589
GQ259899	GQ259899.1	Nycticebus bengalensis cytochrome oxidase subunit I (COXI) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2009-07-22	1542
GQ449387	GQ449387.1	Nycticebus bengalensis D-loop, complete sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2009-09-27	1279
JN709963	JN709963.1	Nycticebus bengalensis isolate CulylonB2 cytochrome b gene, partial cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2011-12-28	245
KC977312	KC977312.1	Nycticebus bengalensis mitochondrion, complete genome	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2013-08-24	16758
KP410608	KP410608.1	Nycticebus bengalensis voucher NB1ULI cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2015-10-16	1140
KP410618	KP410618.1	Nycticebus bengalensis voucher NCOU230H cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2015-10-16	1140
KP410627	KP410627.1	Nycticebus bengalensis voucher NBEN601 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2015-10-16	1140
KP410638	KP410638.1	Nycticebus bengalensis voucher SPny1 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2015-10-16	1140
KP410649	KP410649.1	Nycticebus bengalensis voucher Hanoi1 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2015-10-16	1140
KP410652	KP410652.1	Nycticebus bengalensis voucher Hanoi4 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2015-10-16	1140
KP410662	KP410662.1	Nycticebus bengalensis voucher NBEN614 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2015-10-16	1140
KP410666	KP410666.1	Nycticebus bengalensis cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2015-10-16	1140
KY436589	KY436589.1	Nycticebus bengalensis isolate YNHHNB2015001 mitochondrion, complete genome	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2018-05-20	16770
MG897690	MG897690.1	Nycticebus bengalensis isolate CB1 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897691	MG897691.1	Nycticebus bengalensis isolate CB2 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897692	MG897692.1	Nycticebus bengalensis isolate CB3 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897693	MG897693.1	Nycticebus bengalensis isolate CD1 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897694	MG897694.1	Nycticebus bengalensis isolate DB11 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897695	MG897695.1	Nycticebus bengalensis isolate DB12 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897696	MG897696.1	Nycticebus bengalensis isolate DB13 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897697	MG897697.1	Nycticebus bengalensis isolate DB14 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897698	MG897698.1	Nycticebus bengalensis isolate DB2 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897699	MG897699.1	Nycticebus bengalensis isolate DB3 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897700	MG897700.1	Nycticebus bengalensis isolate DB5 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897701	MG897701.1	Nycticebus bengalensis isolate DB6 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897702	MG897702.1	Nycticebus bengalensis isolate GB1 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897703	MG897703.1	Nycticebus bengalensis isolate GB2 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897704	MG897704.1	Nycticebus bengalensis isolate GB3 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897705	MG897705.1	Nycticebus bengalensis isolate GB4 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897706	MG897706.1	Nycticebus bengalensis isolate GB5 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897707	MG897707.1	Nycticebus bengalensis isolate HB1 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897708	MG897708.1	Nycticebus bengalensis isolate HJ1 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897709	MG897709.1	Nycticebus bengalensis isolate JB4 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897710	MG897710.1	Nycticebus bengalensis isolate JB6 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897711	MG897711.1	Nycticebus bengalensis isolate NB22 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897712	MG897712.1	Nycticebus bengalensis isolate NB31 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897713	MG897713.1	Nycticebus bengalensis isolate NB32 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897714	MG897714.1	Nycticebus bengalensis isolate NB33 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897715	MG897715.1	Nycticebus bengalensis isolate NB34 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897716	MG897716.1	Nycticebus bengalensis isolate NB41 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897717	MG897717.1	Nycticebus bengalensis isolate NB42 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897718	MG897718.1	Nycticebus bengalensis isolate NB61 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897719	MG897719.1	Nycticebus bengalensis isolate NB62 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897720	MG897720.1	Nycticebus bengalensis isolate NB64 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897721	MG897721.1	Nycticebus bengalensis isolate NB712 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897722	MG897722.1	Nycticebus bengalensis isolate NB734 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897723	MG897723.1	Nycticebus bengalensis isolate NB91 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897724	MG897724.1	Nycticebus bengalensis isolate PB1 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897725	MG897725.1	Nycticebus bengalensis isolate DB1 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897726	MG897726.1	Nycticebus bengalensis isolate PB10 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897727	MG897727.1	Nycticebus bengalensis isolate PB11 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897728	MG897728.1	Nycticebus bengalensis isolate PB2 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897729	MG897729.1	Nycticebus bengalensis isolate PB21 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897730	MG897730.1	Nycticebus bengalensis isolate PB23 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897731	MG897731.1	Nycticebus bengalensis isolate PB24 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897732	MG897732.1	Nycticebus bengalensis isolate PB25 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897733	MG897733.1	Nycticebus bengalensis isolate PB27 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897734	MG897734.1	Nycticebus bengalensis isolate PB28 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897735	MG897735.1	Nycticebus bengalensis isolate PB30 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897736	MG897736.1	Nycticebus bengalensis isolate PB6 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897737	MG897737.1	Nycticebus bengalensis isolate PB7 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897738	MG897738.1	Nycticebus bengalensis isolate PB8 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897739	MG897739.1	Nycticebus bengalensis isolate PB9 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897740	MG897740.1	Nycticebus bengalensis isolate ZB1 cytochrome b (cytb) gene, complete cds; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	1140
MG897741	MG897741.1	Nycticebus bengalensis isolate DB1 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897742	MG897742.1	Nycticebus bengalensis isolate DB6 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897743	MG897743.1	Nycticebus bengalensis isolate DB7 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897744	MG897744.1	Nycticebus bengalensis isolate DB11 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897745	MG897745.1	Nycticebus bengalensis isolate DB12 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897746	MG897746.1	Nycticebus bengalensis isolate DB13 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897747	MG897747.1	Nycticebus bengalensis isolate DB14 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897748	MG897748.1	Nycticebus bengalensis isolate GB2 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897749	MG897749.1	Nycticebus bengalensis isolate GB3 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897750	MG897750.1	Nycticebus bengalensis isolate GB4 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897751	MG897751.1	Nycticebus bengalensis isolate GB5 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897752	MG897752.1	Nycticebus bengalensis isolate GB6 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897753	MG897753.1	Nycticebus bengalensis isolate HJ1 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897754	MG897754.1	Nycticebus bengalensis isolate JB1 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897755	MG897755.1	Nycticebus bengalensis isolate JB2 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897756	MG897756.1	Nycticebus bengalensis isolate JB3 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897757	MG897757.1	Nycticebus bengalensis isolate JB4 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897758	MG897758.1	Nycticebus bengalensis isolate JB5 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897759	MG897759.1	Nycticebus bengalensis isolate JB6 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897760	MG897760.1	Nycticebus bengalensis isolate KB1 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897761	MG897761.1	Nycticebus bengalensis isolate KB2 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897762	MG897762.1	Nycticebus bengalensis isolate NB21 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897763	MG897763.1	Nycticebus bengalensis isolate NB31 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897764	MG897764.1	Nycticebus bengalensis isolate NB32 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897765	MG897765.1	Nycticebus bengalensis isolate NB33 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897766	MG897766.1	Nycticebus bengalensis isolate NB34 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897767	MG897767.1	Nycticebus bengalensis isolate NB41 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897768	MG897768.1	Nycticebus bengalensis isolate NB42 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897769	MG897769.1	Nycticebus bengalensis isolate NB62 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897770	MG897770.1	Nycticebus bengalensis isolate NB64 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897771	MG897771.1	Nycticebus bengalensis isolate NB91 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897772	MG897772.1	Nycticebus bengalensis isolate NB712 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897773	MG897773.1	Nycticebus bengalensis isolate PB3 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897774	MG897774.1	Nycticebus bengalensis isolate PB2 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897775	MG897775.1	Nycticebus bengalensis isolate PB3M D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897776	MG897776.1	Nycticebus bengalensis isolate PB4 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897777	MG897777.1	Nycticebus bengalensis isolate PB4M D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897778	MG897778.1	Nycticebus bengalensis isolate PB5M D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897779	MG897779.1	Nycticebus bengalensis isolate PB6 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897780	MG897780.1	Nycticebus bengalensis isolate PB7 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897781	MG897781.1	Nycticebus bengalensis isolate PB8 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897782	MG897782.1	Nycticebus bengalensis isolate PB9 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897783	MG897783.1	Nycticebus bengalensis isolate PB10 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
MG897784	MG897784.1	Nycticebus bengalensis isolate PB11 D-loop, partial sequence; mitochondrial	mitochondrion Nycticebus bengalensis (Bengal slow loris)	Nycticebus	bengalensis		Nycticebus bengalensis	2020-06-30	386
